Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Bergkreuz GmbH,Baden,https://www.swissmadesoftware.org/en/companies/bergkreuz-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Bergos AG,8034 Zurich; Zürich,http://www.bergos.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bergstrom Elektro GmbH,Glis,,Swissolar,1,Solar / energy,Haselgasse 32
Berhalter AG,Widnau,http://www.berhalter.com/,Swissmechanic,1,Industry / SMEs,"Berhalter AG, Lindenstrasse 120, 9443 Widnau"
BERHALTER AG Switzerland,Widnau,https://www.berhalter.com/,Swissmem,1,Industry / engineering,
BERHALTER AG – Tec-spiration,,https://swiss-aerospace-cluster.ch/portfolio-item/berhalter/,Swiss Aerospace Cluster,1,Aerospace / engineering,
BERING AG,Bern 25,https://www.bering.ch,Swissolar,1,Solar / energy,Papiermühlestrasse 4
BERING AG Biel,Biel/Bienne,https://,Swissolar,1,Solar / energy,General-Dufour-Strasse 4
BERING AG Burgdorf,Burgdorf,https://www.bering.ch/kontakte/burgdorf,Swissolar,1,Solar / energy,Kirchbergstrasse 189
BERING AG Interlaken,Unterseen,https://www.bering.ch/kontakte/interlaken,Swissolar,1,Solar / energy,"Hauptstrasse 43, Postfach 198"
BERING AG Langenthal,Langenthal,https://www.bering.ch/kontakte/langenthal,Swissolar,1,Solar / energy,Rosenweg 21
BERING AG Thun,Thun,https://www.bering.ch/kontakte/thun,Swissolar,1,Solar / energy,Talackerstrasse 41
"Berkshire Hathaway International Insurance Limited, London, Zweigniederlassung Zürich",Zürich,,FINMA,1,Regulated financial services,Non-life insurer
Berlanda Technologies GmbH,Lugano,https://www.berlanda-technologies.ch,Swissmem,1,Industry / engineering,
Berlinger & Co. AG,Luzern,https://www.berlinger.com,Swissmem,1,Industry / engineering,
Berlinger Special AG,Ganterschwil,https://www.berlinger.ch/,Swissmem,1,Industry / engineering,
Berlowitz Jakob,Celerina/Schlarigna,,FINMA,1,Regulated financial services,Portfolio manager
Bernafon AG,Bern; Canton of Bern,https://www.bernafon.ch/,Swiss Medtech; Swissmem,2,Industry / engineering; Medical technology,
Berner Engineering GmbH,Lenzburg,https://www.berner-engineering.net,Swissmem,1,Industry / engineering,
Berner Fachhochschule,Bern,,digitalswitzerland; swissICT,2,Digital economy; ICT / digital,
Berner Fachhochschule - Technik und Informatik,Bern 22; Canton of Bern,https://www.bfh.ch/ti/de,asut; Swiss Medtech; swissICT,3,ICT / digital; Medical technology; Telecom / digital infrastructure,
"Berner Fachhochschule TI, PV-Labor",Burgdorf,https://www.bfh.ch/pvlab,Swissolar,1,Solar / energy,Jlcoweg 1
Berner Kantonalbank AG,Bern,https://www.bekb.ch/,FINMA; swisscleantech,2,Cleantech / energy; Regulated financial services,Bank; Finanz- und Versicherungsdienstleister
Bernerland Bank AG,3454 Sumiswald; Sumiswald,http://www.bernerlandbank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bernex Bimetall AG,Trimbach,https://www.bernexgroup.com,Swissmem,1,Industry / engineering,
BERNEXPO AG,Bern,http://www.bernexpo.ch,asut; Swissmechanic,2,Industry / SMEs; Telecom / digital infrastructure,"Bernexpo AG, Mingerstrasse 6, 3000 Bern"
Berney Précision SA,Bussy-sur-Moudon,http://www.berney-precision.ch/,Swissmechanic,1,Industry / SMEs,"Berney Précision SA, Chemin de la Laiterie 2, 1514 Bussy-sur-Moudon"
Bernhard AG,Utzenstorf,https://www.bernhard-dach.ch,Swissolar,1,Solar / energy,Lindenstrasse 1
Bernhard Arnold Vermögensverwaltung und Finanzberatung GmbH,Altdorf UR,,FINMA,1,Regulated financial services,Portfolio manager
"Bernhard Kauer, Family Asset Management (FAM)",Neerach,,FINMA,1,Regulated financial services,Portfolio manager
Bernhard Polybau AG,Langenthal,https://www.bernhard-group.ch,Swissolar,1,Solar / energy,Gaswerkstrasse 63
BERNINA BioInvest AG,,https://www.swissbiotech.org/listing/bernina-bioinvest-ag/,Swiss Biotech Association,1,Biotech,
BERNINA International AG,Steckborn,https://www.bernina.com,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Bernina International AG, Seestrasse 161, 8266 Steckborn"
BERNINVEST AG,Bern 22,,FINMA,1,Regulated financial services,Fund management company
BERNMOBIL,Bern,http://www.bernmobil.ch/,Swissmechanic,1,Industry / SMEs,"BERNMOBIL, Eigerplatz 3, 3000 Bern"
BERNMOBIL Städtische Verkehrsbetriebe,Bern,,swissICT,1,ICT / digital,
Berns Engineering Consulting GmbH,,https://swiss-aerospace-cluster.ch/portfolio-item/berns-engineering-consulting-gmbh/,Swiss Aerospace Cluster,1,Aerospace / engineering,
"Bernstein Autonomous LLP, London, vertreten durch Sanford C. Bernstein (Schweiz) GmbH",Zürich,,FINMA,1,Regulated financial services,Foreign securities firm representative office
Berotec SA,Moutier,https://www.berotec.ch,Swissmem,1,Industry / engineering,
Berro AG,Canton of Appenzell Ausserrhoden,https://www.berro.ch/,Swiss Medtech,1,Medical technology,
