rank,employer,proxy_score,selection_bucket,corporate_subtype,public_subtype,city_location,website,sources,source_count,it_relevance_score,scale_institutional_proxy,data_confidence_score,penalty,employer_group_key,selection_reason,caveats,review_status
22,KPMG AG,97.2,Corporate / institutional IT,Finance / insurance,,8036 Zurich; Zürich,http://www.kpmg.ch/,Swiss Banking; swissICT,2,100,100,86,0,kpmg,IT/digital directories: swissICT; Institutional signal: Swiss Banking; Recognisable large-employer signal; Confirmed by 2 independent directories; Website available,Current hiring activity not yet verified,Selected — careers page and hiring verification pending
23,Swissgrid AG,97.2,Corporate / institutional IT,Public / education / healthcare,Public / healthcare / infrastructure,Aarau,http://www.swissgrid.ch,asut; swissICT,2,100,100,86,0,swissgrid,"IT/digital directories: asut, swissICT; Recognisable large-employer signal; Public/institutional IT-employer signal; Confirmed by 2 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
24,Endress+Hauser Flowtec AG,96.5,Corporate / institutional IT,General corporate,,Reinach; Reinach BL,https://www.endress.com,swissICT; Swissmechanic; Swissmem,3,100,89,99,0,endress+hauser,"IT/digital directories: swissICT; High-tech directories: Swissmechanic, Swissmem; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
25,Microsoft Schweiz GmbH,96.4,Corporate / institutional IT,General corporate,,8058 Zürich-Flughafen; Zürich-Flughafen,http://www.microsoft.ch,asut; Swico; swissICT,3,100,92,94,0,microsoft,"IT/digital directories: Swico, asut, swissICT; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
26,SAP (Schweiz) AG,96.4,Corporate / institutional IT,General corporate,,2504 Biel/Bienne; 8058 Zürich; Zürich,http://www.sap.com,asut; Swico; swissICT,3,100,92,94,0,sap,"IT/digital directories: Swico, asut, swissICT; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
27,Schweizerische Mobiliar Versicherungsgesellschaft AG,96.4,Corporate / institutional IT,Finance / insurance,,Bern; Zürich,https://swiss-aerospace-cluster.ch/portfolio-item/mobiliar/,FINMA; Swiss Aerospace Cluster; swisscleantech; swissICT,4,100,88,100,0,mobiliar,"IT/digital directories: swissICT; Institutional signal: FINMA; High-tech directories: Swiss Aerospace Cluster, swisscleantech; Recognisable large-employer signal; Confirmed by 4 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
28,Emmi Schweiz AG,96.2,Corporate / institutional IT,General corporate,,Emmen; Kirchberg BE; Luzern; Ostermundigen,http://www.emmi.com/,swisscleantech; swissICT; Swissmechanic,3,100,88,99,0,emmi,"IT/digital directories: swissICT; High-tech directories: Swissmechanic, swisscleantech; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
29,Coop Genossenschaft,95.9,Corporate / institutional IT,General corporate,,Basel; Basel-Stadt,http://www.coop.ch,asut; swisscleantech; swissICT,3,100,87,99,0,coop,"IT/digital directories: asut, swissICT; High-tech directories: swisscleantech; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
30,Sunrise GmbH,95.9,Corporate / institutional IT,General corporate,,8152 Glattpark(Opfikon); 8304 Wallisellen; Zürich,http://www.sunrise.ch,asut; Swico; swisscleantech,3,100,87,99,0,sunrise,"IT/digital directories: Swico, asut; High-tech directories: swisscleantech; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
31,Sulzer Management AG,95.5,Corporate / institutional IT,General corporate,,Winterthur,https://www.sulzer.com,asut; swissICT; Swissmem,3,100,89,94,0,sulzer,"IT/digital directories: asut, swissICT; High-tech directories: Swissmem; Recognisable large-employer signal; Confirmed by 3 independent directories; Website available",Current hiring activity not yet verified,Selected — careers page and hiring verification pending
